fPeak,pLow,pMid,pHigh,pKurtosis,qMean,qVar,qSkewness,qKurtosis,qPeak2Peak,qCrest,qRMS,qMAD,qCSRange,LeakFault,BlockingFault,BearingFault,FaultClass,total_lifecycle_days,current_day
95.7494505494505,9.27533624826997,90.1162179494868,82.32587852523,194.53642384106,37.9655109431774,11.2700479913132,-0.665247980005854,2.90167085144933,18.9068886733573,1.15867150698851,38.1135236534367,2.77888368210725,45558.2390128619,1.20327219130176e-09,0.8,0,1,32,1
95.8100122100122,11.5348431271116,95.7779844444712,82.2091018008457,231.788079470199,37.9198181399835,11.4709413749095,-0.641814897325768,2.83671017157252,18.9956101302717,1.17035655142999,38.0706448328081,2.80235407098873,45503.0281753118,1.31659403938228e-07,0.8,0,1,32,10
95.8100122100122,7.14468868872685,105.438369836083,85.1939860032491,458.609271523179,37.8795323867857,11.4393758369611,-0.635137267696687,2.67627506893117,18.4673593347157,1.16791586615575,38.0301041913206,2.84109648010969,45456.3460436354,1.62009125896786e-07,0.8,0,1,32,11
95.8100122100122,8.80283045313284,94.5053395453914,84.569881343423,134.105960264901,37.8922913041681,11.6839026144103,-0.646752171782698,2.72522303920874,18.6940634752094,1.17072609404338,38.0460236347493,2.86284847530565,45469.8672810143,2.09935170313361e-07,0.8,0,1,32,12
95.7494505494505,12.7372546677574,103.753539545401,86.8818900519307,134.933774834437,37.8202753712406,11.5798223745221,-0.635696862773107,2.74585096733983,18.1960838389479,1.15679952581312,37.9729299595628,2.84876240111182,45383.1656343039,2.76696351304496e-07,0.8,0,1,32,13
95.7494505494505,11.5538272201292,105.852194712573,90.7183091444897,311.258278145695,37.7242156835499,11.5360378468693,-0.594066249756237,2.57099868261006,17.8007221752406,1.16578854879289,37.8766799155557,2.86311880596581,45270.1241356807,3.66119847136889e-07,0.8,0,1,32,14
95.8100122100122,18.8552858833418,108.584145340768,90.147277614955,291.390728476821,37.6345917760482,11.7399142431306,-0.626232741070347,2.71843750959731,19.0184286257467,1.16976031427493,37.7901129566582,2.85041273787279,45160.1339042482,4.73348596460476e-07,0.8,0,1,32,15
95.7494505494505,13.778009310239,97.8313642673646,97.3054923257003,293.046357615894,37.5590454358313,11.5184928317742,-0.615447782337753,2.64610502287284,17.6742623830295,1.16648760845826,37.7119450059378,2.83474969133091,45071.2878528146,5.60515528653128e-07,0.8,0,1,32,16
95.8100122100122,16.2817725180917,105.268458399041,75.3982899375268,457.781456953642,37.5093218580194,11.5759716132,-0.527365576600847,2.55310691102785,18.2926263160155,1.18386544173812,37.6631857289165,2.85408921727153,45010.8623256222,6.20263512540293e-07,0.8,0,1,32,17
95.8100122100122,12.7061561300244,115.355248613847,79.9472602526421,336.092715231788,37.5183367050737,11.0427742357589,-0.568824384491711,2.53184343895758,17.1206880798618,1.16837430397441,37.6650921769931,2.77685326024381,45024.4996735459,6.88073695054236e-07,0.8,0,1,32,18
