fPeak,pLow,pMid,pHigh,pKurtosis,qMean,qVar,qSkewness,qKurtosis,qPeak2Peak,qCrest,qRMS,qMAD,qCSRange,LeakFault,BlockingFault,BearingFault,FaultClass,machine_id,total_lifecycle_days,current_day
95.74945055,7.46475493,96.27297103,92.5930949,360.9271523,38.01180384,11.91380448,-0.710460327,2.981344294,19.8295058,1.167374467,38.16806408,2.865842066,45612.15676,1.04E-09,0.8,1.65E-08,6,3,36,1
95.74945055,7.102883949,96.89418195,81.69263487,409.7682119,37.95360662,11.90445721,-0.680894676,2.911261208,18.72442502,1.168710837,38.10998295,2.866082712,45540.71377,3.16E-08,0.8,1.37E-05,6,3,36,10
95.68888889,7.544606495,98.54163152,84.93891387,231.7880795,37.93465938,11.79822559,-0.669294675,2.894183536,18.12748424,1.161696062,38.08972019,2.839218501,45517.56706,4.04E-08,0.8,1.80E-05,6,3,36,11
95.68888889,8.048882031,96.89345476,79.75467183,278.1456954,37.93070583,11.64315249,-0.664344935,2.887726566,19.51378117,1.161637645,38.08374854,2.83345482,45512.44323,5.22E-08,0.8,2.28E-05,6,3,36,12
95.62832723,8.869534115,99.10308927,83.93034276,166.3907285,37.92070251,11.422255,-0.662175455,2.86792924,18.81360613,1.156923785,38.07088682,2.813545482,45500.01174,6.62E-08,0.8,2.97E-05,6,3,36,13
95.56776557,8.107269182,99.11166752,90.98187075,371.6887417,37.86593253,11.75887376,-0.715455618,2.995179653,19.52699771,1.177658615,38.02075655,2.836769878,45433.97779,7.99E-08,0.8,3.59E-05,6,3,36,14
95.50720391,8.25050509,98.75419892,91.19256319,261.589404,37.87075298,11.52889196,-0.692933259,2.865051946,19.58920421,1.184237102,38.02253574,2.821833693,45439.63586,9.61E-08,0.8,4.37E-05,6,3,36,15
95.38608059,8.684212365,96.40508981,89.88061659,451.1589404,37.84679191,11.52447777,-0.684627851,2.770873265,18.9601352,1.166539898,37.99861234,2.83680456,45419.8397,1.16E-07,0.8,5.32E-05,6,3,36,16
95.32551893,8.916935679,92.89917274,76.64708922,230.9602649,37.81847893,11.37724169,-0.651273079,2.708958406,18.24976684,1.163402178,37.9684753,2.823205936,45383.61526,1.34E-07,0.8,6.30E-05,6,3,36,17
95.32551893,6.935657926,88.16596638,72.43846162,457.781457,37.78633761,11.17828042,-0.610504985,2.647505125,18.11343678,1.15874223,37.93384087,2.796523468,45343.1218,1.62E-07,0.8,7.28E-05,6,3,36,18
95.2043956,8.700642081,90.34837037,75.61555465,343.5430464,37.72332822,11.04311022,-0.657541966,2.814417393,18.73711983,1.186037232,37.86929373,2.775123566,45265.21163,1.95E-07,0.8,8.75E-05,6,3,36,19
95.74945055,7.446511597,96.10886265,92.06735991,360.9271523,38.0121355,11.91218277,-0.714676921,2.999704583,19.77849265,1.167523916,38.16837316,2.863412033,45612.54147,1.27E-09,0.8,1.15E-07,6,3,36,2
95.14383394,8.535659303,91.21405122,74.03951163,168.0463576,37.67264039,10.65200058,-0.657130133,2.728456689,18.22884898,1.165311456,37.81363465,2.71109007,45202.80776,2.26E-07,0.8,0.000102938,6,3,36,20
95.02271062,7.370669993,91.72037185,73.29919732,465.2317881,37.58672675,10.99937934,-0.651581162,2.793546908,17.56449574,1.148537554,37.73264168,2.76380216,45098.9371,2.56E-07,0.8,0.000119109,6,3,36,21
94.9015873,9.996736852,97.70966802,85.22830736,449.5033113,37.49783647,11.40065269,-0.633668223,2.693517583,17.89064522,1.166176783,37.64942098,2.827631693,44992.55433,3.00E-07,0.8,0.000137478,6,3,36,22
94.78046398,8.199559923,98.42205783,76.87524026,449.5033113,37.44230884,11.3048887,-0.542235348,2.464200415,17.60850916,1.167304311,37.59284463,2.815791556,44927.31212,3.40E-07,0.8,0.000155056,6,3,36,23
94.65934066,9.652648255,102.2327843,75.05149764,415.5629139,37.34001768,10.97918245,-0.610240765,2.675101403,17.56126748,1.164168102,37.48662377,2.753285692,44807.722,3.84E-07,0.8,0.000177545,6,3,36,24
94.53821734,11.39868898,101.0456888,76.99112177,450.3311258,37.27656725,11.03353005,-0.625827241,2.657466612,18.16986759,1.172432802,37.4241474,2.782682709,44736.07567,4.34E-07,0.8,0.000199803,6,3,36,25
95.74945055,7.139242961,95.43808689,91.67105159,360.9271523,37.99751217,12.0183975,-0.710221742,2.967594901,19.65588698,1.168320607,38.15520045,2.878217886,45594.94893,1.93E-09,0.8,3.66E-07,6,3,36,3
95.74945055,8.66873512,99.69022885,94.91955344,360.0993377,38.00635327,12.00658392,-0.714632083,2.983857348,19.42492266,1.168749849,38.16385037,2.875490272,45605.50699,3.34E-09,0.8,8.37E-07,6,3,36,4
95.74945055,9.109701039,100.2343843,96.47447411,167.218543,37.98927113,12.04847659,-0.715390123,3.012651987,20.22767953,1.170271255,38.1473874,2.879534244,45584.89439,5.10E-09,0.8,1.59E-06,6,3,36,5
95.74945055,7.221571419,96.80735217,91.88680027,422.1854305,38.00285495,11.98283615,-0.70575279,2.980624156,19.78741348,1.171224185,38.1600556,2.877009251,45601.05228,7.66E-09,0.8,2.85E-06,6,3,36,6
95.74945055,7.885995681,98.87252362,86.77104323,437.0860927,38.00318276,11.84353021,-0.693791119,2.913021715,19.03916338,1.172679018,38.15855826,2.861092484,45601.19123,1.13E-08,0.8,4.92E-06,6,3,36,7
95.74945055,9.049327573,98.71241062,90.83233436,201.1589404,37.98789352,11.87575593,-0.709303736,3.007960358,19.86831378,1.173501238,38.14375338,2.865058967,45582.59497,1.63E-08,0.8,6.97E-06,6,3,36,8
95.74945055,7.383575828,97.5808494,86.14230232,360.0993377,37.96649102,11.91171509,-0.691308431,2.919286306,18.80394933,1.172363571,38.12290962,2.871795421,45556.50146,2.38E-08,0.8,1.05E-05,6,3,36,9
94.2959707,11.94629641,95.38659764,70.11171522,285.5960265,37.16301223,10.63635042,-0.588485557,2.57778291,16.99196042,1.167524718,37.30572305,2.732335901,44595.24061,4.82E-07,0.8,0.000229804,6,3,36,26
92.23687424,27.33652104,110.2462467,58.11548492,437.9139073,35.97738264,10.44541872,-0.398756037,2.328876694,15.22859507,1.184563935,36.12213702,2.699301846,43176.89189,1.11E-06,0.8,0.000572462,6,3,36,35
46.08888889,35.9022379,110.4046973,57.82589902,360.0993377,35.83913905,10.32350432,-0.385742196,2.252273886,15.56481162,1.170908614,35.98275693,2.708657062,43004.39109,1.21E-06,0.8,0.0006,6,3,36,36
94.11428571,11.67811337,93.56588128,82.24984117,70.36423841,37.04652479,10.64594529,-0.562727842,2.581506209,17.87901553,1.160283896,37.18981151,2.738295998,44451.72754,5.27E-07,0.8,0.000261017,6,3,36,27
93.93260073,14.67222794,98.91553856,79.34152946,491.7218543,36.9247732,10.8749867,-0.535238906,2.476343573,17.23670645,1.186280058,37.07161728,2.760299086,44310.456,5.95E-07,0.8,0.00029352,6,3,36,28
93.69035409,18.08128584,106.2243513,76.34241896,56.29139073,36.82197981,10.61635344,-0.574592308,2.578399206,16.66958432,1.168501712,36.96573698,2.701675012,44182.08907,6.48E-07,0.8,0.000321697,6,3,36,29
93.56923077,18.57547585,103.4268158,75.23906668,326.1589404,36.7373817,10.55316339,-0.481808069,2.361399579,17.29121157,1.175630493,36.88061266,2.72878619,44079.53549,7.10E-07,0.8,0.000357389,6,3,36,30
93.26642247,17.81598003,94.01361039,73.82512954,325.3311258,36.57176374,10.64291602,-0.522586204,2.355491341,16.17454499,1.179990512,36.71686203,2.739174351,43886.23853,7.71E-07,0.8,0.000396054,6,3,36,31
93.08473748,19.06775899,101.3914181,71.50783307,333.6092715,36.43394961,10.37661431,-0.498821871,2.447313318,16.46899079,1.176065386,36.57595738,2.680333129,43718.94811,8.35E-07,0.8,0.000436194,6,3,36,32
92.78192918,19.1302121,107.1827392,62.09109575,67.8807947,36.29768231,10.43188869,-0.509791756,2.442953223,16.70946489,1.166567518,36.44097891,2.700136959,43558.86052,9.15E-07,0.8,0.000480855,6,3,36,33
92.47912088,23.58241408,97.68305175,63.53206391,224.3377483,36.1433719,10.47295893,-0.447938289,2.355897506,17.58216845,1.185465146,36.2878433,2.710813771,43366.39286,1.01E-06,0.8,0.000530344,6,3,36,34
