fPeak,pLow,pMid,pHigh,pKurtosis,qMean,qVar,qSkewness,qKurtosis,qPeak2Peak,qCrest,qRMS,qMAD,qCSRange,LeakFault,BlockingFault,BearingFault,FaultClass,machine_id,total_lifecycle_days,current_day
95.74945055,7.436846682,96.24537961,92.61038302,360.9271523,38.0155562,11.87608029,-0.709458021,2.987703946,19.83840853,1.167246551,38.17130735,2.861584395,45616.66548,1.20E-09,0.8,0,1,2,32,1
95.81001221,9.472580572,78.72145374,81.38673705,312.9139073,37.94179012,11.25019467,-0.657206518,2.879180802,19.42713356,1.17165351,38.08963461,2.784762094,45529.78594,1.32E-07,0.8,0,1,2,32,10
95.81001221,6.982394538,102.6756259,89.41144895,308.7748344,37.94927954,11.69578852,-0.674383023,2.857229068,20.04759131,1.188513908,38.10293778,2.842793011,45538.49591,1.62E-07,0.8,0,1,2,32,11
95.74945055,9.132047598,96.17667275,77.39234829,288.9072848,37.84175125,11.31190867,-0.672715221,2.905269709,18.06971914,1.16324802,37.99079662,2.784555888,45408.26121,2.10E-07,0.8,0,1,2,32,12
95.81001221,8.906079174,100.2144995,85.99539916,409.7682119,37.79725899,11.60372096,-0.657241087,2.795083253,18.4826759,1.156533358,37.95032076,2.846809833,45358.27403,2.77E-07,0.8,0,1,2,32,13
95.74945055,9.237522407,105.7797732,81.57601409,459.4370861,37.74907912,11.5611086,-0.629627819,2.7138971,18.21699651,1.152984451,37.90177379,2.840495537,45298.44463,3.66E-07,0.8,0,1,2,32,14
95.81001221,14.16647908,101.6191954,90.01534959,10.7615894,37.6196633,12.06570296,-0.64015661,2.777864052,19.05392988,1.174090415,37.7795543,2.908654195,45144.30907,4.73E-07,0.8,0,1,2,32,15
95.81001221,15.51519197,109.8892509,83.42804257,120.0331126,37.59131382,11.64728822,-0.602070056,2.643684431,18.65753616,1.182678639,37.74578738,2.85098072,45111.16536,5.61E-07,0.8,0,1,2,32,16
95.81001221,14.95185385,100.2845765,83.78555046,57.1192053,37.5834199,11.73574765,-0.612261388,2.686441312,18.17679251,1.17171427,37.7390968,2.851546682,45100.55386,6.20E-07,0.8,0,1,2,32,17
95.81001221,16.9660724,108.0875918,88.01653017,343.5430464,37.52424297,11.60144836,-0.585927313,2.67500753,18.58336433,1.170446992,37.67838371,2.839342446,45028.95833,6.88E-07,0.8,0,1,2,32,18
95.81001221,19.86289957,107.1813092,72.33492327,166.3907285,37.45369517,11.03118807,-0.558267224,2.569317044,18.5556285,1.167738878,37.600549,2.772540563,44945.21278,7.76E-07,0.8,0,1,2,32,19
95.74945055,6.750186525,94.47570189,82.07034769,247.5165563,38.02861437,11.53644633,-0.647988575,2.918285869,19.66792699,1.170370052,38.17986841,2.829951491,45635.46297,2.46E-09,0.8,0,1,2,32,2
95.74945055,23.82685705,106.4590496,83.11678526,24.83443709,37.32962691,11.76451974,-0.526191576,2.449719117,17.17603435,1.181410566,37.48674124,2.874062711,44796.98388,9.47E-07,0.8,0,1,2,32,20
